HGNC.symbol	Gene.stable.ID	MGI.symbol
MFSD2A	ENSMUSG00000028655	Mfsd2a
NOS2	ENSMUSG00000020826	Nos2
HOXA4	ENSMUSG00000000942	Hoxa4
OTC	ENSMUSG00000031173	Otc
TFF3	ENSMUSG00000024029	Tff3
PARM1	ENSMUSG00000034981	Parm1
FEZF1	ENSMUSG00000029697	Fezf1
CXXC4	ENSMUSG00000044365	Cxxc4
WNK4	ENSMUSG00000035112	Wnk4
USP41	ENSMUSG00000030107	Usp18
HEPACAM2	ENSMUSG00000044156	Hepacam2
LGI2	ENSMUSG00000039252	Lgi2
FAM3D	ENSMUSG00000021749	Fam3d
PRUNE2	ENSMUSG00000039126	Prune2
PTGES3L-AARSD1	ENSMUSG00000097239	Gm27029
PTGES3L-AARSD1	ENSMUSG00000075528	Aarsd1
MGAM2	ENSMUSG00000102802	Mgam2-ps
PDE10A	ENSMUSG00000023868	Pde10a
PROX1	ENSMUSG00000010175	Prox1
TRPA1	ENSMUSG00000032769	Trpa1
MUC13	ENSMUSG00000022824	Muc13
DAPK2	ENSMUSG00000032380	Dapk2
ARHGEF26	ENSMUSG00000036885	Arhgef26
LRRIQ4	ENSMUSG00000027703	Lrriq4
CDX2	ENSMUSG00000029646	Cdx2
GNA14	ENSMUSG00000024697	Gna14
VNN1	ENSMUSG00000037440	Vnn1
E2F2	ENSMUSG00000018983	E2f2
DLL1	ENSMUSG00000014773	Dll1
HOXA10	ENSMUSG00000000938	Hoxa10
MYO1A	ENSMUSG00000025401	Myo1a
RASL11A	ENSMUSG00000029641	Rasl11a
RNF32	ENSMUSG00000029130	Rnf32
LRP4	ENSMUSG00000027253	Lrp4
BCL2L14	ENSMUSG00000030200	Bcl2l14
HEPH	ENSMUSG00000031209	Heph
ANXA13	ENSMUSG00000055114	Anxa13
MYCL	ENSMUSG00000028654	Mycl
KLK1	ENSMUSG00000038968	Klk1b16
KLK1	ENSMUSG00000063713	Klk1b24
KLK1	ENSMUSG00000066515	Klk1b3
KLK1	ENSMUSG00000066513	Klk1b4
KLK1	ENSMUSG00000066512	Klk1b5
KLK1	ENSMUSG00000063903	Klk1
HMGCS2	ENSMUSG00000027875	Hmgcs2
GUCY2C	ENSMUSG00000042638	Gucy2c
GFI1	ENSMUSG00000029275	Gfi1
CLCA1	ENSMUSG00000028255	Clca1
ARL9	ENSMUSG00000063820	Arl9
ANG	ENSMUSG00000053961	Ang5
ANG	ENSMUSG00000072598	Ang6
SPDEF	ENSMUSG00000024215	Spdef
REG4	ENSMUSG00000027876	Reg4
CBFA2T3	ENSMUSG00000006362	Cbfa2t3
RAP1GAP	ENSMUSG00000041351	Rap1gap
TDRD5	ENSMUSG00000060985	Tdrd5
DGAT2	ENSMUSG00000030747	Dgat2
MOGAT2	ENSMUSG00000052396	Mogat2
TLDC2	ENSMUSG00000074628	Tldc2
CCL24	ENSMUSG00000004814	Ccl24
PCK1	ENSMUSG00000027513	Pck1
GAS2	ENSMUSG00000030498	Gas2
CDH17	ENSMUSG00000028217	Cdh17
HOXB13	ENSMUSG00000049604	Hoxb13
ITLN1	ENSMUSG00000038209	Itln1
B4GALNT2	ENSMUSG00000013418	B4galnt2
CHP2	ENSMUSG00000030865	Chp2
AGMAT	ENSMUSG00000040706	Agmat
GRIN2D	ENSMUSG00000002771	Grin2d
FOXA2	ENSMUSG00000037025	Foxa2
ENTPD8	ENSMUSG00000036813	Entpd8
SPINK4	ENSMUSG00000028415	Spink4
CLDN3	ENSMUSG00000070473	Cldn3
KLHL32	ENSMUSG00000040387	Klhl32
GPA33	ENSMUSG00000000544	Gpa33
TPH1	ENSMUSG00000040046	Tph1
MAP2K6	ENSMUSG00000020623	Map2k6
DLL4	ENSMUSG00000027314	Dll4
CD244	ENSMUSG00000004709	Cd244a
VIL1	ENSMUSG00000026175	Vil1
SLC27A2	ENSMUSG00000027359	Slc27a2
CPS1	ENSMUSG00000025991	Cps1
CLRN3	ENSMUSG00000050866	Clrn3
RAB37	ENSMUSG00000020732	Rab37
PLCB1	ENSMUSG00000051177	Plcb1
ATP2A3	ENSMUSG00000020788	Atp2a3
CYP3A4	ENSMUSG00000029727	Cyp3a13
CCL15	ENSMUSG00000019122	Ccl9
CCL15	ENSMUSG00000018927	Ccl6
YBX2	ENSMUSG00000018554	Ybx2
TRPM2	ENSMUSG00000009292	Trpm2
DPP4	ENSMUSG00000035000	Dpp4
HMCN2	ENSMUSG00000055632	Hmcn2
CCL15-CCL14	ENSMUSG00000019122	Ccl9
CCL15-CCL14	ENSMUSG00000018927	Ccl6
