HGNC.symbol	Gene.stable.ID	MGI.symbol
CARNS1	ENSMUSG00000075289	Carns1
UGT1A3	ENSMUSG00000089943	Ugt1a5
UGT1A3	ENSMUSG00000090171	Ugt1a2
UGT1A6	ENSMUSG00000090124	Ugt1a7c
UGT1A6	ENSMUSG00000090145	Ugt1a6b
UGT1A6	ENSMUSG00000054545	Ugt1a6a
ADGRF1	ENSMUSG00000041293	Adgrf1
PTPRR	ENSMUSG00000020151	Ptprr
FKBP1B	ENSMUSG00000020635	Fkbp1b
DUOXA2	ENSMUSG00000027225	Duoxa2
S1PR4	ENSMUSG00000044199	S1pr4
CA9	ENSMUSG00000028463	Car9
PDE11A	ENSMUSG00000075270	Pde11a
TRIM54	ENSMUSG00000062077	Trim54
PLA2G4A	ENSMUSG00000056220	Pla2g4a
SLAMF6	ENSMUSG00000015314	Slamf6
PLAC8	ENSMUSG00000029322	Plac8
IHH	ENSMUSG00000006538	Ihh
B3GNT7	ENSMUSG00000079445	B3gnt7
CFAP46	ENSMUSG00000049571	Cfap46
USH1C	ENSMUSG00000030838	Ush1c
MUC3A	ENSMUSG00000094840	Muc3a
TMC5	ENSMUSG00000030650	Tmc5
PTGIS	ENSMUSG00000017969	Ptgis
ZNF69	ENSMUSG00000055150	Zfp78
DYNC2H1	ENSMUSG00000047193	Dync2h1
C11orf91	ENSMUSG00000032671	A930018P22Rik
IL1RN	ENSMUSG00000026981	Il1rn
VSTM5	ENSMUSG00000031937	Vstm5
BCAS1	ENSMUSG00000013523	Bcas1
CREB3L1	ENSMUSG00000027230	Creb3l1
CAPN5	ENSMUSG00000035547	Capn5
ONECUT3	ENSMUSG00000045518	Onecut3
NPC1L1	ENSMUSG00000020447	Npc1l1
CYP3A5	ENSMUSG00000029727	Cyp3a13
TNFRSF11A	ENSMUSG00000026321	Tnfrsf11a
IL1R2	ENSMUSG00000026073	Il1r2
GPRC5B	ENSMUSG00000008734	Gprc5b
C2orf72	ENSMUSG00000026227	2810459M11Rik
MUC17	ENSMUSG00000037390	Muc3
C2orf16	ENSMUSG00000044581	4932415D10Rik
DUOX2	ENSMUSG00000068452	Duox2
SLC6A20	ENSMUSG00000025243	Slc6a20b
SLC6A20	ENSMUSG00000036814	Slc6a20a
FUT9	ENSMUSG00000055373	Fut9
FNDC4	ENSMUSG00000038552	Fndc4
ERN2	ENSMUSG00000030866	Ern2
ANO7	ENSMUSG00000034107	Ano7
BTBD16	ENSMUSG00000040298	Btbd16
CRYM	ENSMUSG00000030905	Crym
PRR15L	ENSMUSG00000047040	Prr15l
CAPN8	ENSMUSG00000038599	Capn8
GALNT5	ENSMUSG00000026828	Galnt5
ICOSLG	ENSMUSG00000000732	Icosl
KCNE3	ENSMUSG00000035165	Kcne3
TM4SF5	ENSMUSG00000018919	Tm4sf5
OMP	ENSMUSG00000074006	Omp
ANKS4B	ENSMUSG00000030909	Anks4b
FSIP2	ENSMUSG00000075249	Fsip2
MMP28	ENSMUSG00000020682	Mmp28
SGK2	ENSMUSG00000017868	Sgk2
MUC5AC	ENSMUSG00000037974	Muc5ac
SLC40A1	ENSMUSG00000025993	Slc40a1
SLC9A4	ENSMUSG00000026065	Slc9a4
CDHR5	ENSMUSG00000025497	Cdhr5
SLC9A2	ENSMUSG00000026062	Slc9a2
GCKR	ENSMUSG00000059434	Gckr
HNF4A	ENSMUSG00000017950	Hnf4a
SDR16C5	ENSMUSG00000028236	Sdr16c5
