HGNC.symbol	Gene.stable.ID	MGI.symbol
LRRN1	ENSMUSG00000034648	Lrrn1
RAMP1	ENSMUSG00000034353	Ramp1
CDHR4	ENSMUSG00000032595	Cdhr4
ERP27	ENSMUSG00000030219	Erp27
TEKT2	ENSMUSG00000028845	Tekt2
EFHC2	ENSMUSG00000025038	Efhc2
AK8	ENSMUSG00000026807	Ak8
CFAP43	ENSMUSG00000044948	Cfap43
PCDH7	ENSMUSG00000029108	Pcdh7
CCDC173	ENSMUSG00000070883	Ccdc173
RSPH1	ENSMUSG00000024033	Rsph1
CFAP73	ENSMUSG00000094282	Cfap73
DTHD1	ENSMUSG00000090326	Dthd1
DRC7	ENSMUSG00000031786	Drc7
OAS2	ENSMUSG00000032690	Oas2
LRRC73	ENSMUSG00000071073	Lrrc73
CFAP57	ENSMUSG00000028730	Cfap57
DNAH3	ENSMUSG00000052273	Dnah3
TTC16	ENSMUSG00000039021	Ttc16
VSTM2L	ENSMUSG00000037843	Vstm2l
CFAP157	ENSMUSG00000038987	Cfap157
DNAI1	ENSMUSG00000061322	Dnai1
LRRC46	ENSMUSG00000020878	Lrrc46
CCL18	ENSMUSG00000000982	Ccl3
C15orf48	ENSMUSG00000033213	AA467197
LY75	ENSMUSG00000026980	Ly75
TNNI2	ENSMUSG00000031097	Tnni2
IFITM1	ENSMUSG00000059108	Ifitm6
HCAR1	ENSMUSG00000049241	Hcar1
PPP1R1C	ENSMUSG00000034683	Ppp1r1c
KIAA1549L	ENSMUSG00000068373	D430041D05Rik
CFAP45	ENSMUSG00000026546	Cfap45
C15orf62	ENSMUSG00000055926	Gm14137
CERKL	ENSMUSG00000075256	Cerkl
TMEM169	ENSMUSG00000026188	Tmem169
ENKUR	ENSMUSG00000026679	Enkur
WNT10A	ENSMUSG00000026167	Wnt10a
C7orf57	ENSMUSG00000040978	Gm11992
VWA3A	ENSMUSG00000030889	Vwa3a
C9orf24	ENSMUSG00000028441	1110017D15Rik
FBXO24	ENSMUSG00000089984	Fbxo24
BDNF	ENSMUSG00000048482	Bdnf
CFAP61	ENSMUSG00000037143	Cfap61
SKAP1	ENSMUSG00000057058	Skap1
SLC4A11	ENSMUSG00000074796	Slc4a11
SPAG8	ENSMUSG00000066196	Spag8
UBXN10	ENSMUSG00000043621	Ubxn10
ZBP1	ENSMUSG00000027514	Zbp1
MRPS17	ENSMUSG00000034211	Mrps17
FSIP1	ENSMUSG00000027344	Fsip1
MALL	ENSMUSG00000027377	Mall
SYT8	ENSMUSG00000031098	Syt8
TGM2	ENSMUSG00000037820	Tgm2
CFAP206	ENSMUSG00000028294	Cfap206
FLRT3	ENSMUSG00000051379	Flrt3
PRR29	ENSMUSG00000009210	Prr29
